Gadgets information
============================================================
0x000000000011442f : call qword ptr [r10] // 41ff12
0x0000000000076d5f : call qword ptr [r14] // 41ff16
0x00000000000ba867 : call qword ptr [r15] // 41ff17
0x000000000000306f : call qword ptr [rax] // ff10
0x000000000000359e : call qword ptr [rbx] // ff13
0x0000000000007081 : call qword ptr [rcx] // ff11
0x00000000000aeb94 : call qword ptr [rdi] // ff17
0x000000000007e2b4 : call qword ptr [rdx] // ff12
0x0000000000076d60 : call qword ptr [rsi] // ff16
0x0000000000028959 : call r12 // 41ffd4
0x0000000000021470 : call r14 // 41ffd6
0x00000000000233e0 : call r15 // 41ffd7
0x0000000000066473 : call r8 // 41ffd0
0x00000000000202df : call rax // ffd0
0x00000000000210e5 : call rbx // ffd3
0x0000000000021ad7 : call rcx // ffd1
0x00000000000233e1 : call rdi // ffd7
0x0000000000035916 : call rdx // ffd2
0x0000000000021471 : call rsi // ffd6
0x000000000002895a : call rsp // ffd4
0x00000000000631ce : cdq ; ret // 99c3
0x000000000004cb33 : cdq ; ret 0x34 // 99c23400
0x000000000018df02 : clc ; call qword ptr [rbx] // f8ff13
0x000000000018ea02 : clc ; call qword ptr [rcx] // f8ff11
0x000000000018cec2 : clc ; call qword ptr [rdi] // f8ff17
0x000000000018db32 : clc ; call qword ptr [rdx] // f8ff12
0x000000000018d3ba : clc ; call qword ptr [rsi] // f8ff16
0x0000000000190c7a : clc ; call rbx // f8ffd3
0x0000000000191042 : clc ; call rcx // f8ffd1
0x000000000018ddd2 : clc ; call rdx // f8ffd2
0x000000000016ea7a : clc ; call rsp // f8ffd4
0x000000000018e1e2 : clc ; jmp qword ptr [rax] // f8ff20
0x000000000018faf2 : clc ; jmp qword ptr [rbx] // f8ff23
0x000000000018fe92 : clc ; jmp qword ptr [rcx] // f8ff21
0x000000000018d332 : clc ; jmp qword ptr [rdi] // f8ff27
0x000000000018e5d2 : clc ; jmp qword ptr [rdx] // f8ff22
0x0000000000047d5c : clc ; jmp rax // f8ffe0
0x0000000000191092 : clc ; jmp rbx // f8ffe3
0x000000000018d632 : clc ; jmp rdi // f8ffe7
0x000000000018d1ca : clc ; jmp rsi // f8ffe6
0x000000000016ec82 : clc ; jmp rsp // f8ffe4
0x0000000000020b0f : clc ; ret // f8c3
0x0000000000169612 : clc ; ret 0x6e1f // f8c21f6e
0x0000000000032fc0 : clc ; syscall // f80f05
0x000000000016a2fe : cld ; call qword ptr [rax] // fcff10
0x000000000017cc5a : cld ; call qword ptr [rbx] // fcff13
0x000000000016a746 : cld ; call qword ptr [rdx] // fcff12
0x000000000016a6a2 : cld ; call qword ptr [rsi] // fcff16
0x000000000016a302 : cld ; call rax // fcffd0
0x000000000016a736 : cld ; call rdx // fcffd2
0x000000000016a6d2 : cld ; call rsi // fcffd6
0x000000000016a7fe : cld ; call rsp // fcffd4
0x000000000016a36a : cld ; jmp qword ptr [rax] // fcff20
0x000000000017e07a : cld ; jmp qword ptr [rbx] // fcff23
0x000000000016a72a : cld ; jmp qword ptr [rdx] // fcff22
0x000000000016a6c6 : cld ; jmp qword ptr [rsi] // fcff26
0x000000000016a2e2 : cld ; jmp rax // fcffe0
0x000000000016a75a : cld ; jmp rdx // fcffe2
0x000000000016a6b6 : cld ; jmp rsi // fcffe6
0x000000000016a7e2 : cld ; jmp rsp // fcffe4
0x0000000000043b62 : cld ; ret // fcc3
0x000000000005cc59 : cld ; retf // fccb
0x000000000017d504 : cld ; retf 0 // fcca0000
0x000000000018d504 : cld ; retf 1 // fcca0100
0x0000000000077ca0 : cld ; retf 6 // fcca0600
0x0000000000161076 : cli ; call qword ptr [rax] // faff10
0x000000000017cbe2 : cli ; call qword ptr [rbx] // faff13
0x0000000000173b52 : cli ; call qword ptr [rdi] // faff17
0x000000000015ff9a : cli ; call rax // faffd0
0x000000000016f93a : cli ; call rsp // faffd4
0x00000000001748c2 : cli ; jmp qword ptr [rcx] // faff21
0x000000000017c9d2 : cli ; jmp qword ptr [rdi] // faff27
0x000000000015ff92 : cli ; jmp rax // faffe0
0x0000000000030ebc : cli ; jmp rdx // faffe2
0x000000000016fa1a : cli ; jmp rsp // faffe4
0x0000000000101b1b : cli ; retf 0 // faca0000
0x00000000000f5b25 : cli ; syscall // fa0f05
0x000000000015e39e : cmc ; call qword ptr [rax] // f5ff10
0x0000000000183cba : cmc ; call qword ptr [rbx] // f5ff13
0x000000000015dfa6 : cmc ; call qword ptr [rcx] // f5ff11
0x000000000015e30e : cmc ; call qword ptr [rdi] // f5ff17
0x000000000015e48a : cmc ; call qword ptr [rdx] // f5ff12
0x000000000015e382 : cmc ; call qword ptr [rsi] // f5ff16
0x000000000015e3ba : cmc ; call rax // f5ffd0
0x000000000015e59e : cmc ; call rdi // f5ffd7
0x0000000000184e92 : cmc ; call rdx // f5ffd2
0x000000000015ddde : cmc ; call rsp // f5ffd4
0x000000000015e33a : cmc ; jmp qword ptr [rax] // f5ff20
0x0000000000182d4a : cmc ; jmp qword ptr [rcx] // f5ff21
0x000000000015e2fe : cmc ; jmp qword ptr [rdi] // f5ff27
0x00000000001841a2 : cmc ; jmp qword ptr [rdx] // f5ff22
0x000000000015dd0a : cmc ; jmp qword ptr [rsi] // f5ff26
0x000000000015e3ae : cmc ; jmp rax // f5ffe0
0x000000000015e41a : cmc ; jmp rbx // f5ffe3
0x000000000015df6a : cmc ; jmp rcx // f5ffe1
0x000000000015e89a : cmc ; jmp rdi // f5ffe7
0x00000000001843c2 : cmc ; jmp rdx // f5ffe2
0x000000000015e8a2 : cmc ; jmp rsp // f5ffe4
0x0000000000118886 : cmc ; ret 4 // f5c20400
0x0000000000068f47 : cmc ; retf // f5cb
0x000000000007c286 : cmpsb byte ptr [rsi], byte ptr [rdi] ; retf // a6cb
0x0000000000003902 : cmpsd dword ptr [rsi], dword ptr [rdi] ; ret 0x49ec // a7c2ec49
0x00000000000f368d : cmpsd dword ptr [rsi], dword ptr [rdi] ; ret 0xfff2 // a7c2f2ff
0x00000000000802bd : cmpsd dword ptr [rsi], dword ptr [rdi] ; retf 0xd // a7ca0d00
0x000000000017e049 : cwde ; call qword ptr [rsi] // 98f2ff16
0x0000000000003b0d : cwde ; ret // 98c3
0x000000000002e8e4 : cwde ; ret 0x36 // 98c23600
0x0000000000003c15 : cwde ; retf // 98cb
0x000000000000238e : cwde ; retf -0x7e40 // 98cac081
0x0000000000181f32 : hlt ; call qword ptr [rbx] // f4ff13
0x000000000015d97a : hlt ; call qword ptr [rdx] // f4ff12
0x0000000000181f72 : hlt ; call qword ptr [rsi] // f4ff16
0x0000000000180ab2 : hlt ; call rdi // f4ffd7
0x000000000018213a : hlt ; call rdx // f4ffd2
